,FIPS,County_Name,State,UIC_2013,UIC_Group,MEDICARE_ENROLL,POPESTIMATE,MED_HOUSE_INCOME,PHARMA_COUNT,HOSP_BED_100,POP_1MILE_TO_PARK,MEDICARE_RATE,PARK_1MILE_RATE
165,05109,Pike County,AR,10,Nonmetro,2806,10171,43133,Data Not Collected,No Counts,1972,0.27588241077573494,0.1938845737882214
166,05111,Poinsett County,AR,2,Metro,5763,22965,36150,7,No Counts,6463,0.2509470934030046,0.2814282603962552
167,05113,Polk County,AR,11,Nonmetro,5454,19221,42915,5,33.89,10690,0.2837521460902138,0.5561625305655273
168,05115,Pope County,AR,8,Nonmetro,13016,63381,46350,8,26.84,35396,0.20536122812830343,0.5584638929647686
169,05117,Prairie County,AR,7,Nonmetro,2204,8282,48478,1,No Counts,1875,0.2661192948563149,0.22639459067858006
170,05119,Pulaski County,AR,2,Metro,78715,399125,56171,65,108.35,300659,0.19721891637958033,0.7532953335421234
171,05121,Randolph County,AR,9,Nonmetro,4557,18571,46495,3,26.91,3445,0.24538258575197888,0.18550428086802004
172,05123,St. Francis County,AR,3,Nonmetro,4924,23090,37759,2,51.2,6133,0.21325249025552187,0.26561281940233866
173,05125,Saline County,AR,2,Metro,26778,123416,70550,14,20.78,28770,0.21697348804044855,0.23311402087249627
174,05127,Scott County,AR,6,Nonmetro,2605,9836,41230,1,24.46,7054,0.2648434322895486,0.717161447742985
175,05129,Searcy County,AR,10,Nonmetro,2543,7828,33814,Data Not Collected,No Counts,2664,0.32485947879407256,0.34031681144609094
176,05131,Sebastian County,AR,2,Metro,26686,127799,48627,20,84.63,76352,0.20881227552641257,0.5974381646178765
177,05133,Sevier County,AR,6,Nonmetro,2965,15839,45838,2,No Counts,8366,0.1871961613738241,0.5281899109792285
178,05135,Sharp County,AR,9,Nonmetro,5808,17271,40437,5,No Counts,4554,0.3362862602049679,0.2636789994788953
179,05137,Stone County,AR,9,Nonmetro,4224,12359,36148,2,20.22,3475,0.3417752245327292,0.28117161582652317
180,05139,Union County,AR,8,Nonmetro,9534,39054,47857,4,42.65,10238,0.24412352127823014,0.2621498438060122
181,05141,Van Buren County,AR,6,Nonmetro,5215,15796,42345,3,15.86,5372,0.33014687262598125,0.34008609774626486
182,05143,Washington County,AR,2,Metro,35408,245871,57712,37,43.3,164743,0.14401047703877237,0.670038353445506
183,05145,White County,AR,5,Nonmetro,16850,76822,43765,8,60.54,21305,0.21933821040847673,0.27732941084585144
184,05147,Woodruff County,AR,10,Nonmetro,1812,6269,37634,1,No Counts,2692,0.2890413144042112,0.4294145796777796
185,05149,Yell County,AR,5,Nonmetro,4733,20263,48728,3,37.59,15310,0.23357844346839066,0.7555643290726941
186,06001,Alameda County,CA,1,Metro,247914,1682353,113518,27,20.62,1636881,0.1473614633789698,0.9729711897562521
187,06003,Alpine County,CA,4,Nonmetro,265,1204,64542,Data Not Collected,No Counts,1158,0.22009966777408638,0.9617940199335548
188,06005,Amador County,CA,4,Nonmetro,11759,40474,68141,1,12.83,19262,0.2905321935069427,0.4759104610367149
189,06007,Butte County,CA,2,Metro,45906,211632,54718,6,22.42,180791,0.21691426627353141,0.8542706207000832
190,06009,Calaveras County,CA,6,Nonmetro,13387,45292,66329,1,5.52,27431,0.29557096175925107,0.6056477965203568
191,06011,Colusa County,CA,4,Nonmetro,3794,21839,59422,1,19.22,6196,0.173725903200696,0.28371262420440496
192,06013,Contra Costa County,CA,1,Metro,202617,1165927,106484,24,14.55,1092118,0.1737818920052456,0.9366950074918927
193,06015,Del Norte County,CA,8,Nonmetro,6365,27743,47442,2,17.68,26136,0.22942724290812097,0.9420754784990808
194,06017,El Dorado County,CA,1,Metro,45874,191185,87792,9,9.94,169236,0.23994560242696863,0.8851949682244946
195,06019,Fresno County,CA,2,Metro,145927,1008654,61401,19,18.85,826250,0.14467498269971665,0.8191609808715377
196,06021,Glenn County,CA,6,Nonmetro,5759,28917,57779,1,16.27,17206,0.1991562056921534,0.5950133139675623
197,06023,Humboldt County,CA,8,Nonmetro,29518,136463,56071,3,20.24,103368,0.2163077171101324,0.7574800495372372
198,06025,Imperial County,CA,2,Metro,32269,179702,47599,6,14.93,146351,0.17956950952131862,0.8144094111362143
199,06027,Inyo County,CA,11,Nonmetro,4550,19016,55981,1,15.24,17640,0.23927219183845183,0.9276398822044594
200,06029,Kern County,CA,2,Metro,121006,909235,58583,19,17.14,746316,0.13308550594730736,0.8208175004261824
201,06031,Kings County,CA,2,Metro,17934,152486,60319,2,11.33,98611,0.11761079705677899,0.6466888763558621
